CustomerCD,CustomerName,Gender,Age,BirthDate
CT1038,"Cann, Mr. Ernest Charles",male,31,1991-11-19
CT1039,"Vander Planke, Miss. Augusta Maria",female,28,1994-10-22
CT1040,"Nicola-Yarred, Miss. Jamila",female,24,1998-09-15
CT1041,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,50,1973-05-13
CT1042,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,37,1986-01-13
CT1043,"Kraeff, Mr. Theodor",male,27,2012-05-08
CT1044,"Laroche, Miss. Simonne Marie Anne Andree",female,13,2009-06-05
CT1045,"Devaney, Miss. Margaret Delia",female,29,1993-10-31
CT1046,"Rogers, Mr. William John",male,27,2012-05-08
CT1047,"Lennon, Mr. Denis",male,27,2012-05-08
CT1048,"O'Driscoll, Miss. Bridget",female,27,2012-05-08
CT1049,"Samaan, Mr. Youssef",male,27,2012-05-08
CT1050,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,28,1994-10-22
CT1051,"Panula, Master. Juha Niilo",male,17,2005-07-12
CT1052,"Nosworthy, Mr. Richard Cater",male,31,1991-11-19
CT1053,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,59,1964-08-04
CT1054,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,39,1984-02-01
CT1055,"Ostby, Mr. Engelhart Cornelius",male,75,1948-12-30
CT1056,"Woolner, Mr. Hugh",male,,2012-05-08
CT1057,"Rugg, Miss. Emily",female,31,1991-11-19
CT1058,"Novel, Mr. Mansouer",male,38,1985-01-22
CT1059,"West, Miss. Constance Mirium",female,15,2007-06-24
CT1060,"Goodwin, Master. William Frederick",male,21,2001-08-18
CT1061,"Sirayanian, Mr. Orsen",male,32,1990-11-28
CT1062,"Icard, Miss. Amelie",female,48,1975-04-25
CT1063,"Harris, Mr. Henry Birkhardt",male,55,1968-06-28
CT1064,"Skoog, Master. Harald",male,14,2008-06-14
CT1065,"Stewart, Mr. Albert A",male,27,2012-05-08
CT1066,"Moubarek, Master. Gerios",male,27,2012-05-08
CT1067,"Nye, Mrs. (Elizabeth Ramell)",female,39,1984-02-01
CT1068,"Crease, Mr. Ernest James",male,29,1993-10-31
CT1069,"Andersson, Miss. Erna Alexandra",female,27,1995-10-13
CT1070,"Kink, Mr. Vincenz",male,36,1987-01-04
CT1071,"Jenkin, Mr. Stephen Curnow",male,42,1981-02-28
CT1072,"Goodwin, Miss. Lillian Amy",female,26,1996-10-03
CT1073,"Hood, Mr. Ambrose Jr",male,31,1991-11-19
CT1074,"Chronopoulos, Mr. Apostolos",male,36,1987-01-04
CT1075,"Bing, Mr. Lee",male,42,1981-02-28
CT1076,"Moen, Mr. Sigurd Hansen",male,35,1987-12-26
CT1077,"Staneff, Mr. Ivan",male,27,2012-05-08
CT1078,"Moutal, Mr. Rahamin Haim",male,27,2012-05-08
CT1079,"Caldwell, Master. Alden Gates",male,27,2012-05-08
CT1080,"Dowdell, Miss. Elizabeth",female,40,1983-02-10
CT1081,"Waelens, Mr. Achille",male,32,1990-11-28
CT1082,"Sheerlinck, Mr. Jan Baptist",male,39,1984-02-01
CT1083,"McDermott, Miss. Brigdet Delia",female,,2012-05-08
CT1084,"Carrau, Mr. Francisco M",male,38,1985-01-22
CT1085,"Ilett, Miss. Bertha",female,27,1995-10-13
CT1086,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,43,1980-03-09
CT1087,"Ford, Mr. William Neal",male,26,1996-10-03
CT1088,"Slocovski, Mr. Selman Francis",male,27,2012-05-08
CT1089,"Fortune, Miss. Mabel Helen",female,33,1989-12-07
CT1090,"Celotti, Mr. Francesco",male,34,1988-12-16
CT1091,"Christmann, Mr. Emil",male,39,1984-02-01
CT1092,"Andreasson, Mr. Paul Edvin",male,30,1992-11-09
CT1093,"Chaffee, Mr. Herbert Fuller",male,56,1967-07-08
CT1094,"Dean, Mr. Bertram Frank",male,36,1987-01-04
CT1095,"Coxon, Mr. Daniel",male,69,1954-11-05
CT1096,"Shorney, Mr. Charles Joseph",male,27,2012-05-08
CT1097,"Goldschmidt, Mr. George B",male,81,1943-02-24
CT1098,"Greenfield, Mr. William Bertram",male,33,1989-12-07
CT1099,"Doling, Mrs. John T (Ada Julia Bone)",female,44,1979-03-19
CT1100,"Kantor, Mr. Sinai",male,44,1979-03-19
CT1101,"Petranec, Miss. Matilda",female,38,1985-01-22
CT1102,"Petroff, Mr. Pastcho (""Pentcho"")",male,27,2012-05-08
CT1103,"White, Mr. Richard Frasar",male,31,1991-11-19
CT1104,"Johansson, Mr. Gustaf Joel",male,43,1980-03-09
CT1105,"Gustafsson, Mr. Anders Vilhelm",male,47,1976-04-15
CT1106,"Mionoff, Mr. Stoytcho",male,38,1985-01-22
CT1107,"Salkjelsvik, Miss. Anna Kristine",female,31,1991-11-19
CT1108,"Moss, Mr. Albert Johan",male,27,2012-05-08
CT1109,"Rekic, Mr. Tido",male,48,1975-04-25
CT1110,"Moran, Miss. Bertha",female,27,2012-05-08
CT1111,"Porter, Mr. Walter Chamberlain",male,57,1966-07-17
CT1112,"Zabour, Miss. Hileni",female,24,1998-09-15
CT1113,"Barton, Mr. David John",male,32,1990-11-28
CT1114,"Jussila, Miss. Katriina",female,30,1992-11-09
CT1115,"Attalah, Miss. Malake",female,27,1995-10-13
CT1116,"Pekoniemi, Mr. Edvard",male,31,1991-11-19
CT1117,"Connors, Mr. Patrick",male,80,1944-02-15
CT1118,"Turpin, Mr. William John Robert",male,39,1984-02-01
CT1119,"Baxter, Mr. Quigg Edmond",male,34,1988-12-16
CT1120,"Andersson, Miss. Ellis Anna Maria",female,12,2010-05-27
CT1121,"Hickman, Mr. Stanley George",male,31,1991-11-19
CT1122,"Moore, Mr. Leonard Charles",male,27,2012-05-08
CT1123,"Nasser, Mr. Nicholas",male,42,1981-02-28
CT1124,"Webber, Miss. Susan",female,42,1981-02-28
CT1125,"White, Mr. Percival Wayland",male,64,1959-09-20
CT1126,"Nicola-Yarred, Master. Elias",male,22,2000-08-27
CT1127,"McMahon, Mr. Martin",male,,2012-05-08
CT1128,"Madsen, Mr. Fridtjof Arne",male,34,1988-12-16
CT1129,"Peter, Miss. Anna",female,27,2012-05-08
CT1130,"Ekstrom, Mr. Johan",male,55,1968-06-28
CT1131,"Drazenoic, Mr. Jozef",male,43,1980-03-09
CT1132,"Coelho, Mr. Domingos Fernandeo",male,30,1992-11-09
CT1133,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,57,1966-07-17
CT1134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,39,1984-02-01
CT1135,"Sobey, Mr. Samuel James Hayden",male,35,1987-12-26
CT1136,"Richard, Mr. Emile",male,33,1989-12-07
CT1137,"Newsom, Miss. Helen Monypeny",female,29,1993-10-31
CT1138,"Futrelle, Mr. Jacques Heath",male,47,1976-04-15
CT1139,"Osen, Mr. Olaf Elon",male,26,1996-10-03
CT1140,"Giglio, Mr. Victor",male,34,1988-12-16
CT1141,"Boulos, Mrs. Joseph (Sultana)",female,27,2012-05-08
CT1142,"Nysten, Miss. Anna Sofia",female,32,1990-11-28
CT1143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,34,1988-12-16
CT1144,"Burke, Mr. Jeremiah",male,29,1993-10-31
CT1145,"Andrew, Mr. Edgardo Samuel",male,28,1994-10-22
CT1146,"Nicholls, Mr. Joseph Charles",male,29,1993-10-31
CT1147,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,37,1986-01-13
CT1148,"Ford, Miss. Robina Maggie ""Ruby""",female,19,2003-07-31
CT1149,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,46,1977-04-06
CT1150,"Byles, Rev. Thomas Roussel Davids",male,52,1971-06-01
CT1151,"Bateman, Rev. Robert James",male,61,1962-08-23
CT1152,"Pears, Mrs. Thomas (Edith Wearne)",female,32,1990-11-28
CT1153,"Meo, Mr. Alfonzo",male,65,1958-09-29
CT1154,"van Billiard, Mr. Austin Blyler",male,50,1973-05-13
CT1155,"Olsen, Mr. Ole Martin",male,,2012-05-08
CT1156,"Williams, Mr. Charles Duane",male,61,1962-08-23
CT1157,"Gilnagh, Miss. Katherine ""Katie""",female,26,1996-10-03
CT1158,"Corn, Mr. Harry",male,40,1983-02-10
CT1159,"Smiljanic, Mr. Mile",male,27,2012-05-08
CT1160,"Sage, Master. Thomas Henry",male,27,2012-05-08
CT1161,"Cribb, Mr. John Hatfield",male,54,1969-06-19
CT1162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,50,1973-05-13
CT1163,"Bengtsson, Mr. John Viktor",male,36,1987-01-04
CT1164,"Calic, Mr. Jovo",male,27,1995-10-13
CT1165,"Panula, Master. Eino Viljami",male,11,2011-05-18
CT1166,"Goldsmith, Master. Frank John William ""Frankie""",male,19,2003-07-31
CT1167,"Chibnall, Mrs. (Edith Martha Bowerman)",female,27,2012-05-08
CT1168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,55,1968-06-28
CT1169,"Baumann, Mr. John D",male,27,2012-05-08
CT1170,"Ling, Mr. Lee",male,38,1985-01-22
CT1171,"Van der hoef, Mr. Wyckoff",male,71,1952-11-23
CT1172,"Rice, Master. Arthur",male,14,2008-06-14
CT1173,"Johnson, Miss. Eleanor Ileen",female,11,2011-05-18
CT1174,"Sivola, Mr. Antti Wilhelm",male,31,1991-11-19
CT1175,"Smith, Mr. James Clinch",male,66,1957-10-08
CT1176,"Klasen, Mr. Klas Albin",male,28,1994-10-22
CT1177,"Lefebre, Master. Henry Forbes",male,27,2012-05-08
CT1178,"Isham, Miss. Ann Elizabeth",female,60,1963-08-14
CT1179,"Hale, Mr. Reginald",male,40,1983-02-10
CT1180,"Leonard, Mr. Lionel",male,46,1977-04-06
CT1181,"Sage, Miss. Constance Gladys",female,,2012-05-08
CT1182,"Pernot, Mr. Rene",male,,2012-05-08
CT1183,"Asplund, Master. Clarence Gustaf Hugo",male,19,2003-07-31
CT1184,"Becker, Master. Richard F",male,11,2011-05-18
CT1185,"Kink-Heilmann, Miss. Luise Gretchen",female,14,2008-06-14
CT1186,"Rood, Mr. Hugh Roscoe",male,27,2012-05-08
CT1187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,27,2012-05-08
CT1188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,55,1968-06-28
CT1189,"Bourke, Mr. John",male,50,1973-05-13
CT1190,"Turcin, Mr. Stjepan",male,46,1977-04-06
CT1191,"Pinsky, Mrs. (Rosa)",female,42,1981-02-28
CT1192,"Carbines, Mr. William",male,29,1993-10-31
CT1193,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,29,1993-10-31
CT1194,"Navratil, Master. Michel M",male,13,2009-06-05
CT1195,"Brown, Mrs. James Joseph (Margaret Tobin)",female,54,1969-06-19
CT1196,"Lurette, Miss. Elise",female,68,1955-10-27
CT1197,"Mernagh, Mr. Robert",male,27,2012-05-08
CT1198,"Olsen, Mr. Karl Siegwart Andreas",male,52,1971-06-01
CT1199,"Madigan, Miss. Margaret ""Maggie""",female,27,2012-05-08
CT1200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,34,1988-12-16
CT1201,"Vande Walle, Mr. Nestor Cyriel",male,38,1985-01-22
CT1202,"Sage, Mr. Frederick",male,27,2012-05-08
CT1203,"Johanson, Mr. Jakob Alfred",male,44,1979-03-19
CT1204,"Youseff, Mr. Gerious",male,55,1968-06-28
CT1205,"Cohen, Mr. Gurshon ""Gus""",male,28,1994-10-22
CT1206,"Strom, Miss. Telma Matilda",female,12,2010-05-27
CT1207,"Backstrom, Mr. Karl Alfred",male,42,1981-02-28
CT1208,"Albimona, Mr. Nassef Cassem",male,36,1987-01-04
CT1209,"Carr, Miss. Helen ""Ellen""",female,26,1996-10-03
CT1210,"Blank, Mr. Henry",male,50,1973-05-13
CT1211,"Ali, Mr. Ahmed",male,34,1988-12-16
CT1212,"Cameron, Miss. Clear Annie",female,45,1978-03-28
CT1213,"Perkin, Mr. John Henry",male,32,1990-11-28
CT1214,"Givard, Mr. Hans Kristensen",male,40,1983-02-10
CT1215,"Kiernan, Mr. Philip",male,27,2012-05-08
CT1216,"Newell, Miss. Madeleine",female,41,1982-02-19
CT1217,"Honkanen, Miss. Eliina",female,37,1986-01-13
CT1218,"Jacobsohn, Mr. Sidney Samuel",male,52,1971-06-01
CT1219,"Bazzani, Miss. Albina",female,42,1981-02-28
CT1220,"Harris, Mr. Walter",male,40,1983-02-10
CT1221,"Sunderland, Mr. Victor Francis",male,26,1996-10-03
CT1222,"Bracken, Mr. James H",male,37,1986-01-13
CT1223,"Green, Mr. George Henry",male,61,1962-08-23
CT1224,"Nenkoff, Mr. Christo",male,27,2012-05-08
CT1225,"Hoyt, Mr. Frederick Maxfield",male,48,1975-04-25
CT1226,"Berglund, Mr. Karl Ivar Sven",male,32,1990-11-28
CT1227,"Mellors, Mr. William John",male,29,1993-10-31
CT1228,"Lovell, Mr. John Hall (""Henry"")",male,30,1992-11-09
CT1229,"Fahlstrom, Mr. Arne Jonas",male,28,1994-10-22
CT1230,"Lefebre, Miss. Mathilde",female,,2012-05-08
CT1231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,45,1978-03-28
CT1232,"Larsson, Mr. Bengt Edvin",male,39,1984-02-01
CT1233,"Sjostedt, Mr. Ernst Adolf",male,69,1954-11-05
CT1234,"Asplund, Miss. Lillian Gertrud",female,15,2007-06-24
CT1235,"Leyson, Mr. Robert William Norman",male,34,1988-12-16
CT1236,"Harknett, Miss. Alice Phoebe",female,27,2012-05-08
CT1237,"Hold, Mr. Stephen",male,54,1969-06-19
CT1238,"Collyer, Miss. Marjorie ""Lottie""",female,18,2004-07-21
CT1239,"Pengelly, Mr. Frederick William",male,29,1993-10-31
CT1240,"Hunt, Mr. George Henry",male,43,1980-03-09
CT1241,"Zabour, Miss. Thamine",female,27,2012-05-08
CT1242,"Murphy, Miss. Katherine ""Kate""",female,27,2012-05-08
CT1243,"Coleridge, Mr. Reginald Charles",male,39,1984-02-01
CT1244,"Maenpaa, Mr. Matti Alexanteri",male,32,1990-11-28
CT1245,"Attalah, Mr. Sleiman",male,40,1983-02-10
CT1246,"Minahan, Dr. William Edward",male,54,1969-06-19
CT1247,"Lindahl, Miss. Agda Thorilda Viktoria",female,35,1987-12-26
CT1248,"Hamalainen, Mrs. William (Anna)",female,34,1988-12-16
CT1249,"Beckwith, Mr. Richard Leonard",male,47,1976-04-15
CT1250,"Carter, Rev. Ernest Courtenay",male,64,1959-09-20
CT1251,"Reed, Mr. James George",male,27,2012-05-08
CT1252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,39,1984-02-01
CT1253,"Stead, Mr. William Thomas",male,72,1951-12-03
CT1254,"Lobb, Mr. William Arthur",male,40,1983-02-10
CT1255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,51,1972-05-22
CT1256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,39,1984-02-01
CT1257,"Thorne, Mrs. Gertrude Maybelle",female,,2012-05-08
CT1258,"Cherry, Miss. Gladys",female,40,1983-02-10
CT1259,"Ward, Miss. Anna",female,45,1978-03-28
CT1260,"Parrish, Mrs. (Lutie Davis)",female,60,1963-08-14
CT1261,"Smith, Mr. Thomas",male,27,2012-05-08
CT1262,"Asplund, Master. Edvin Rojj Felix",male,13,2009-06-05
CT1263,"Taussig, Mr. Emil",male,62,1961-09-01
CT1264,"Harrison, Mr. William",male,50,1973-05-13
CT1265,"Henry, Miss. Delia",female,27,2012-05-08
CT1266,"Reeves, Mr. David",male,46,1977-04-06
CT1267,"Panula, Mr. Ernesti Arvid",male,26,1996-10-03
CT1268,"Persson, Mr. Ernst Ulrik",male,35,1987-12-26
CT1269,"Graham, Mrs. William Thompson (Edith Junkins)",female,68,1955-10-27
CT1270,"Bissette, Miss. Amelia",female,45,1978-03-28
CT1271,"Cairns, Mr. Alexander",male,,2012-05-08
CT1272,"Tornquist, Mr. William Henry",male,35,1987-12-26
CT1273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,51,1972-05-22
CT1274,"Natsch, Mr. Charles H",male,47,1976-04-15
CT1275,"Healy, Miss. Hanora ""Nora""",female,27,2012-05-08
CT1276,"Andrews, Miss. Kornelia Theodosia",female,73,1950-12-12
CT1277,"Lindblom, Miss. Augusta Charlotta",female,55,1968-06-28
CT1278,"Parkes, Mr. Francis ""Frank""",male,27,2012-05-08
CT1279,"Rice, Master. Eric",male,17,2005-07-12
CT1280,"Abbott, Mrs. Stanton (Rosa Hunt)",female,45,1978-03-28
CT1281,"Duane, Mr. Frank",male,75,1948-12-30
CT1282,"Olsson, Mr. Nils Johan Goransson",male,38,1985-01-22
CT1283,"de Pelsmaeker, Mr. Alfons",male,26,1996-10-03
CT1284,"Dorking, Mr. Edward Arthur",male,29,1993-10-31
CT1285,"Smith, Mr. Richard William",male,27,2012-05-08
CT1286,"Stankovic, Mr. Ivan",male,43,1980-03-09
CT1287,"de Mulder, Mr. Theodore",male,40,1983-02-10
CT1288,"Naidenoff, Mr. Penko",male,32,1990-11-28
CT1289,"Hosono, Mr. Masabumi",male,52,1971-06-01
CT1290,"Connolly, Miss. Kate",female,32,1990-11-28
CT1291,"Barber, Miss. Ellen ""Nellie""",female,36,1987-01-04
CT1292,"Bishop, Mrs. Dickinson H (Helen Walton)",female,29,1993-10-31
CT1293,"Levy, Mr. Rene Jacques",male,46,1977-04-06
CT1294,"Haas, Miss. Aloisia",female,34,1988-12-16
CT1295,"Mineff, Mr. Ivan",male,34,1988-12-16
CT1296,"Lewy, Mr. Ervin G",male,27,2012-05-08
CT1297,"Hanna, Mr. Mansour",male,33,1989-12-07
CT1298,"Allison, Miss. Helen Loraine",female,12,2010-05-27
CT1299,"Saalfeld, Mr. Adolphe",male,27,2012-05-08
CT1300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,60,1963-08-14
CT1301,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,27,2012-05-08
CT1302,"McCoy, Mr. Bernard",male,27,2012-05-08
CT1303,"Johnson, Mr. William Cahoone Jr",male,29,1993-10-31
CT1304,"Keane, Miss. Nora A",female,27,2012-05-08
CT1305,"Williams, Mr. Howard Hugh ""Harry""",male,27,2012-05-08
CT1306,"Allison, Master. Hudson Trevor",male,27,2012-05-08
CT1307,"Fleming, Miss. Margaret",female,27,2012-05-08
CT1308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,27,1995-10-13
CT1309,"Abelson, Mr. Samuel",male,40,1983-02-10
CT1310,"Francatelli, Miss. Laura Mabel",female,40,1983-02-10
CT1311,"Hays, Miss. Margaret Bechstein",female,34,1988-12-16
CT1312,"Ryerson, Miss. Emily Borie",female,28,1994-10-22
CT1313,"Lahtinen, Mrs. William (Anna Sylfven)",female,36,1987-01-04
CT1314,"Hendekovic, Mr. Ignjac",male,38,1985-01-22
CT1315,"Hart, Mr. Benjamin",male,53,1970-06-10
CT1316,"Nilsson, Miss. Helmina Josefina",female,36,1987-01-04
CT1317,"Kantor, Mrs. Sinai (Miriam Sternin)",female,34,1988-12-16
CT1318,"Moraweck, Dr. Ernest",male,64,1959-09-20
CT1319,"Wick, Miss. Mary Natalie",female,41,1982-02-19
CT1320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,50,1973-05-13
CT1321,"Dennis, Mr. Samuel",male,32,1990-11-28
CT1322,"Danoff, Mr. Yoto",male,37,1986-01-13
CT1323,"Slayter, Miss. Hilda Mary",female,40,1983-02-10
CT1324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,32,1990-11-28
CT1325,"Sage, Mr. George John Jr",male,27,2012-05-08
CT1326,"Young, Miss. Marie Grice",female,46,1977-04-06
CT1327,"Nysveen, Mr. Johan Hansen",male,71,1952-11-23
CT1328,"Ball, Mrs. (Ada E Hall)",female,46,1977-04-06
CT1329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,41,1982-02-19
CT1330,"Hippach, Miss. Jean Gertrude",female,26,1996-10-03
CT1331,"McCoy, Miss. Agnes",female,27,2012-05-08
CT1332,"Partner, Mr. Austen",male,55,1968-06-28
CT1333,"Graham, Mr. George Edward",male,48,1975-04-25
CT1334,"Vander Planke, Mr. Leo Edmondus",male,26,1996-10-03
CT1335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,27,2012-05-08
CT1336,"Denkoff, Mr. Mitto",male,27,2012-05-08
CT1337,"Pears, Mr. Thomas Clinton",male,39,1984-02-01
CT1338,"Burns, Miss. Elizabeth Margaret",female,51,1972-05-22
CT1339,"Dahl, Mr. Karl Edwart",male,55,1968-06-28
CT1340,"Blackwell, Mr. Stephen Weart",male,55,1968-06-28
CT1341,"Navratil, Master. Edmond Roger",male,12,2010-05-27
CT1342,"Fortune, Miss. Alice Elizabeth",female,34,1988-12-16
CT1343,"Collander, Mr. Erik Gustaf",male,38,1985-01-22
CT1344,"Sedgwick, Mr. Charles Frederick Waddington",male,35,1987-12-26
CT1345,"Fox, Mr. Stanley Hubert",male,46,1977-04-06
CT1346,"Brown, Miss. Amelia ""Mildred""",female,34,1988-12-16
CT1347,"Smith, Miss. Marion Elsie",female,50,1973-05-13
CT1348,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,27,2012-05-08
CT1349,"Coutts, Master. William Loch ""William""",male,13,2009-06-05
CT1350,"Dimic, Mr. Jovan",male,52,1971-06-01
CT1351,"Odahl, Mr. Nils Martin",male,33,1989-12-07
CT1352,"Williams-Lambert, Mr. Fletcher Fellows",male,27,2012-05-08
CT1353,"Elias, Mr. Tannous",male,25,1997-09-24
CT1354,"Arnold-Franchi, Mr. Josef",male,35,1987-12-26
CT1355,"Yousif, Mr. Wazli",male,27,2012-05-08
CT1356,"Vanden Steen, Mr. Leo Peter",male,38,1985-01-22
CT1357,"Bowerman, Miss. Elsie Edith",female,32,1990-11-28
CT1358,"Funk, Miss. Annie Clemmer",female,48,1975-04-25
CT1359,"McGovern, Miss. Mary",female,27,2012-05-08
CT1360,"Mockler, Miss. Helen Mary ""Ellie""",female,27,2012-05-08
CT1361,"Skoog, Mr. Wilhelm",male,50,1973-05-13
CT1362,"del Carlo, Mr. Sebastiano",male,39,1984-02-01
CT1363,"Barbara, Mrs. (Catherine David)",female,55,1968-06-28
CT1364,"Asim, Mr. Adola",male,45,1978-03-28
CT1365,"O'Brien, Mr. Thomas",male,27,2012-05-08
CT1366,"Adahl, Mr. Mauritz Nils Martin",male,40,1983-02-10
CT1367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,70,1953-11-14
CT1368,"Moussa, Mrs. (Mantoura Boulos)",female,27,2012-05-08
CT1369,"Jermyn, Miss. Annie",female,27,2012-05-08
CT1370,"Aubart, Mme. Leontine Pauline",female,34,1988-12-16
CT1371,"Harder, Mr. George Achilles",male,35,1987-12-26
CT1372,"Wiklund, Mr. Jakob Alfred",male,28,1994-10-22
CT1373,"Beavan, Mr. William Thomas",male,29,1993-10-31
CT1374,"Ringhini, Mr. Sante",male,32,1990-11-28
CT1375,"Palsson, Miss. Stina Viola",female,13,2009-06-05
CT1376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,27,2012-05-08
CT1377,"Landergren, Miss. Aurora Adelia",female,32,1990-11-28
CT1378,"Widener, Mr. Harry Elkins",male,37,1986-01-13
CT1379,"Betros, Mr. Tannous",male,30,1992-11-09
CT1380,"Gustafsson, Mr. Karl Gideon",male,29,1993-10-31
CT1381,"Bidois, Miss. Rosalie",female,52,1971-06-01
CT1382,"Nakid, Miss. Maria (""Mary"")",female,11,2011-05-18
CT1383,"Tikkanen, Mr. Juho",male,42,1981-02-28
CT1384,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,45,1978-03-28
CT1385,"Plotcharsky, Mr. Vasil",male,27,2012-05-08
CT1386,"Davies, Mr. Charles Henry",male,28,1994-10-22
CT1387,"Goodwin, Master. Sidney Leonard",male,11,2011-05-18
CT1388,"Buss, Miss. Kate",female,46,1977-04-06
CT1389,"Sadlier, Mr. Matthew",male,27,2012-05-08
CT1390,"Lehmann, Miss. Bertha",female,27,1995-10-13
CT1391,"Carter, Mr. William Ernest",male,46,1977-04-06
CT1392,"Jansson, Mr. Carl Olof",male,31,1991-11-19
CT1393,"Gustafsson, Mr. Johan Birger",male,38,1985-01-22
CT1394,"Newell, Miss. Marjorie",female,33,1989-12-07
CT1395,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,34,1988-12-16
CT1396,"Johansson, Mr. Erik",male,32,1990-11-28
CT1397,"Olsson, Miss. Elina",female,41,1982-02-19
CT1398,"McKane, Mr. Peter David",male,56,1967-07-08
CT1399,"Pain, Dr. Alfred",male,33,1989-12-07
CT1400,"Trout, Mrs. William H (Jessie L)",female,38,1985-01-22
CT1401,"Niskanen, Mr. Juha",male,49,1974-05-04
